ID	Phylum	Genus	KO	eggNOG	N	T2D	RA	LC	P	M
445972.ANACOL_03086	Firmicutes	Anaerotruncus	K03205	COG1961	1556.124708	1325.527447	1879.107054	1045.538992	2.26E-07	L
SZEY-38A_GL0017475	Firmicutes	Anaerotruncus	unknown	NOG258627	17329.50866	14057.33524	24891.60398	9571.734642	5.98E-19	L
T2D-118A_GL0026923	Firmicutes	Anaerotruncus	unknown	unknown	1311.641559	618.6486882	1077.904477	2252.119594	7.79E-19	H
445972.ANACOL_04206	Firmicutes	Anaerotruncus	unknown	unknown	3289.345911	4206.3287	4538.881662	1227.179211	3.60E-21	L
445972.ANACOL_03118	Firmicutes	Anaerotruncus	unknown	unknown	4424.399183	2366.833018	2090.577223	7993.246211	8.04E-26	H
445972.ANACOL_04195	Firmicutes	Anaerotruncus	unknown	unknown	6932.614789	7288.954294	12464.23485	2040.484919	7.47E-29	L
V1.UC57-0_GL0096365	Bacteroidetes	Bacteroides	K01066	COG0657	2184.259744	3604.331394	1346.882815	3905.131301	2.28E-15	H
NLF014_GL0022106	Bacteroidetes	Bacteroides	K01573	NOG69731	9090.184773	7957.503229	4351.910492	14680.23919	1.41E-15	H
763820215-stool2_revised_scaffold1786_2_gene5856	Bacteroidetes	Bacteroides	K01918	COG0414	4237.169877	2521.5031	2939.447046	10392.09271	7.74E-22	H
MH0066_GL0035835	Bacteroidetes	Bacteroides	K02518	COG0361	4702.452791	3104.583471	2521.082692	7575.519992	1.21E-16	H
765034022-stool1_revised_C484537_1_gene57486	Bacteroidetes	Bacteroides	K02895	COG0198	10260.16772	8125.736276	6954.494438	16106.80753	2.03E-11	H
MH0355_GL0001186	Bacteroidetes	Bacteroides	K02965	COG0185	9552.702548	7417.401712	5270.747792	17285.07559	5.65E-18	H
BGI003A_GL0044842	Bacteroidetes	Bacteroides	K07713	COG3604	1272.398052	801.4975059	857.5447923	1975.391634	2.87E-15	H
BGI-33A_GL0042668	Bacteroidetes	Bacteroides	unknown	NOG71446	6893.431708	5344.992729	4585.874746	10876.31138	2.16E-10	H
NLF008_GL0003269	Bacteroidetes	Bacteroides	unknown	NOG76823	6042.52342	2074.805594	6602.312315	9836.558049	6.00E-18	H
N005A_GL0033356	Bacteroidetes	Bacteroides	unknown	bactNOG01841	2749.794394	1869.362053	1497.509731	5476.404984	2.58E-25	H
T2D-31A_GL0050991	Bacteroidetes	Bacteroides	unknown	bactNOG74454	7027.189603	5492.382006	5538.976885	11948.45196	3.35E-20	H
MH0446_GL0015351	Bacteroidetes	Bacteroides	unknown	unknown	11833.50901	8115.818153	4714.190169	22354.38226	1.67E-23	H
469590.BSCG_05503	Bacteroidetes	Bacteroides	unknown	unknown	13068.52612	7901.958376	4379.225662	31924.90278	9.77E-47	H
411476.BACOVA_00632	Bacteroidetes	Bacteroides	unknown	unknown	15645.77355	17134.74276	5959.3651	19878.52934	1.44E-22	H
V1.CD22-0_GL0164791	Bacteroidetes	Bacteroides	unknown	unknown	16781.59399	7593.019053	5767.139331	47719.80438	7.22E-39	H
MH0014_GL0055407	Bacteroidetes	Bacteroides	unknown	unknown	18395.64951	15693.60295	7002.902638	36368.97014	7.44E-27	H
MH0428_GL0050806	Bacteroidetes	Bacteroides	unknown	unknown	20282.80761	16209.84101	12630.10776	33582.00378	1.39E-16	H
469593.HMPREF9011_04503	Bacteroidetes	Bacteroides	unknown	unknown	22572.82888	11537.29204	10099.09018	60762.29015	8.92E-32	H
MH0060_GL0069493	Bacteroidetes	Bacteroides	unknown	unknown	6082.14099	4333.270218	5771.235923	12958.49827	2.49E-22	H
763034.HMPREF9446_00778	Bacteroidetes	Bacteroides	unknown	unknown	8047.125535	3712.017924	4531.281423	17644.20408	4.66E-34	H
457424.BFAG_04793	Bacteroidetes	Bacteroides	unknown	unknown	8684.090407	3648.360976	3374.042615	21549.43441	4.30E-42	H
563192.HMPREF0179_04505	Proteobacteria	Bilophila	unknown	unknown	2687.060167	4627.522206	1558.6182	1526.35478	2.80E-16	L
563192.HMPREF0179_04506	Proteobacteria	Bilophila	unknown	unknown	2780.735324	4691.1347	1638.526262	1388.204317	2.55E-16	L
MH0003_GL0044663	Firmicutes	Blautia	K00936	COG0642	9685.991123	6150.333188	14006.54835	4847.447073	1.32E-24	L
657314.CK5_08660	Firmicutes	Blautia	K01144	COG0507	3359.058034	2999.338482	4785.763292	1875.83013	9.15E-22	L
MH0144_GL0074933	Firmicutes	Blautia	K02003	COG1136	10322.20361	6797.109759	14243.97015	6002.955065	1.88E-23	L
V1.CD51-0_GL0183361	Firmicutes	Blautia	K02003	COG1136	5416.286804	4056.302065	7430.649315	2572.645236	8.20E-17	L
O2.UC11-0_GL0021455	Firmicutes	Blautia	K02004	COG0577;NOG239434	5209.064366	3578.166359	7781.032546	2667.900577	7.47E-21	L
MH0427_GL0013854	Firmicutes	Blautia	K02004	NOG239434	8061.335943	5087.996347	12101.84453	3416.500268	4.28E-25	L
V1.UC11-5_GL0097198	Firmicutes	Blautia	K03088	NOG286531	3068.382953	1788.593412	4674.814708	1675.475073	3.73E-27	L
411459.RUMOBE_00652	Firmicutes	Blautia	K03205	COG1961	2648.026138	2020.977359	4104.336177	1430.611057	8.97E-23	L
MH0236_GL0019183	Firmicutes	Blautia	unknown	COG0745	8801.077016	5967.672329	12482.56492	3695.002398	1.03E-21	L
O2.UC43-1_GL0035168	Firmicutes	Blautia	unknown	NOG131524	4979.67506	3849.034941	7109.6352	2640.651447	3.67E-15	L
V1.CD7-0_GL0035382	Firmicutes	Clostridium	K02315	COG1484	10455.08353	9304.274218	15957.27724	4594.436228	2.95E-31	L
NLF007_GL0102988	Firmicutes	Clostridium	K06941	COG0820	28684.88399	22552.59969	51683.62652	21096.21531	8.22E-22	L
763759525-stool1_revised_scaffold5845_1_gene62725	Firmicutes	Clostridium	unknown	NOG131524	9492.427668	7428.470247	11803.76685	5890.502642	2.04E-09	L
V1.FI25_GL0032525	Firmicutes	Clostridium	unknown	NOG137534	20639.23938	16222.94415	29676.77275	11117.58817	4.77E-20	L
O2.UC15-2_GL0129379	Firmicutes	Clostridium	unknown	NOG137534	3508.028117	2768.435847	4700.267615	2250.460374	1.11E-11	L
O2.UC35-1_GL0059998	Firmicutes	Clostridium	unknown	NOG27013	10076.70239	9119.090235	18320.54865	6519.793634	6.52E-24	L
