ID	Phylum	Genus	KO	eggNOG	N	T2D	RA	LC	P	M	
445972.ANACOL_03086	Firmicutes	Anaerotruncus	K03205	COG1961	1556.124708	1325.527447	1879.107054	1045.538992	2.26E-07	H	
SZEY-38A_GL0017475	Firmicutes	Anaerotruncus	unknown	NOG258627	17329.50866	14057.33524	24891.60398	9571.734642	5.98E-19	H	
445972.ANACOL_04206	Firmicutes	Anaerotruncus	unknown	unknown	3289.345911	4206.3287	4538.881662	1227.179211	3.60E-21	H	
V1.FI34_GL0048431	unknown	unknown	unknown	unknown	11558.06147	12249.53725	5104.143315	30456.10264	3.01E-51	L	
445972.ANACOL_04195	Firmicutes	Anaerotruncus	unknown	unknown	6932.614789	7288.954294	12464.23485	2040.484919	7.47E-29	H	
469590.BSCG_05503	Bacteroidetes	Bacteroides	unknown	unknown	13068.52612	7901.958376	4379.225662	31924.90278	9.77E-47	L	
457424.BFAG_04793	Bacteroidetes	Bacteroides	unknown	unknown	8684.090407	3648.360976	3374.042615	21549.43441	4.30E-42	L	
V1.CD22-0_GL0164791	Bacteroidetes	Bacteroides	unknown	unknown	16781.59399	7593.019053	5767.139331	47719.80438	7.22E-39	L	
879309.HMPREF9199_1432	Firmicutes	Veillonella	unknown	unknown	5398.969496	8186.246294	4388.995062	58416.91042	2.15E-32	L	
469593.HMPREF9011_04503	Bacteroidetes	Bacteroides	unknown	unknown	22572.82888	11537.29204	10099.09018	60762.29015	8.92E-32	L	
457416.HMPREF0873_02503	Firmicutes	Veillonella	unknown	unknown	6901.210222	9715.181765	5614.603292	56806.97383	3.06E-30	L	
O2.UC48-2_GL0086503	unknown	unknown	unknown	unknown	11413.79739	9567.493547	4734.189992	18557.06764	8.29E-30	L	
762982.HMPREF9442_01094	Bacteroidetes	Paraprevotella	unknown	NOG47313	2278.925859	1966.976629	830.3505846	4133.106976	6.50E-29	L	
MH0014_GL0055407	Bacteroidetes	Bacteroides	unknown	unknown	18395.64951	15693.60295	7002.902638	36368.97014	7.44E-27	L	
V1.UC10-0_GL0067794	Firmicutes	unknown	unknown	unknown	2337.48094	1337.853806	1039.171615	4272.338301	2.22E-26	L	
445972.ANACOL_03118	Firmicutes	Anaerotruncus	unknown	unknown	4424.399183	2366.833018	2090.577223	7993.246211	8.04E-26	L	
N005A_GL0033356	Bacteroidetes	Bacteroides	unknown	bactNOG01841	2749.794394	1869.362053	1497.509731	5476.404984	2.58E-25	L	
862965.PARA_r10	Proteobacteria	Haemophilus	unknown	unknown	4705.73494	3559.522065	2394.555277	27825.13734	8.93E-25	L	
MH0446_GL0015351	Bacteroidetes	Bacteroides	unknown	unknown	11833.50901	8115.818153	4714.190169	22354.38226	1.67E-23	L	
411476.BACOVA_00632	Bacteroidetes	Bacteroides	unknown	unknown	15645.77355	17134.74276	5959.3651	19878.52934	1.44E-22	L	
MH0186_GL0084399	Firmicutes	unknown	unknown	NOG137454	2355.825355	1265.1856	1052.813715	4302.669756	3.08E-22	L	
MH0065_GL0021456	unknown	unknown	unknown	COG1961	1909.149676	1106.578706	672.4059154	3304.196683	2.57E-20	L	
411485.FAEPRAM212_00055	Firmicutes	Faecalibacterium	unknown	unknown	4798.964705	3369.707229	3141.221323	8804.592098	6.05E-19	L	0.739726027
V1.UC31-0_GL0123827	Firmicutes	unknown	K01659	COG0372	2627.305872	919.9171529	841.8827385	4792.78635	8.81E-19	L	
MH0355_GL0001186	Bacteroidetes	Bacteroides	K02965	COG0185	9552.702548	7417.401712	5270.747792	17285.07559	5.65E-18	L	
MH0074_GL0041974	Bacteroidetes	Bacteroides	unknown	NOG285756	1666.317405	4067.153447	1112.887454	1965.773065	8.12E-18	L	
159551223-stool1_revised_scaffold51075_1_gene125223	Bacteroidetes	Bacteroides	unknown	COG3537	1632.918016	4008.290882	1162.259008	1885.505813	1.29E-17	L	
MH0146_GL0001555	Bacteroidetes	Bacteroides	K03628	COG1158	1676.506065	4114.905629	1143.7269	2015.429862	2.31E-17	L	
NLF008_GL0055167	Bacteroidetes	Bacteroides	K04567	COG1190	1861.17023	4466.335147	1213.099892	2056.010057	2.91E-17	L	
MH0162_GL0102405	Bacteroidetes	Bacteroides	unknown	NOG132737	1774.202102	4225.857	1236.016892	2061.128236	5.40E-17	L	
MH0020_GL0043937	Bacteroidetes	Bacteroides	unknown	COG3893	1827.570292	4338.260482	1272.491377	2122.939594	6.15E-17	L	
V1.CD29-0_GL0080520	Firmicutes	unknown	K07636	COG0642	1041.551692	618.9843647	505.0788077	1910.22322	7.07E-17	L	
159611913-stool1_revised_C764122_1_gene118387	Bacteroidetes	Bacteroides	K07667	COG2204	2125.514935	5038.544012	1410.190954	2392.746512	7.65E-17	L	
MH0012_GL0222932	Bacteroidetes	Bacteroides	K01938	COG2759	1791.465329	4301.002841	1223.889015	2189.455813	8.20E-17	L	
DOM010_GL0006099	Bacteroidetes	Bacteroides	K00346	COG1726	1714.989525	3980.186371	1145.825969	2008.622317	8.38E-17	L	
NOF005_GL0088879	Bacteroidetes	Bacteroides	K03043	COG0085	1630.867765	3813.3518	1064.792646	1873.183764	8.45E-17	L	
MH0020_GL0041524	Bacteroidetes	Bacteroides	K05681	COG1131	1764.989144	4165.7762	1213.596831	2086.880691	8.74E-17	L	
MH0020_GL0072421	Bacteroidetes	Bacteroides	K14445	COG0471	1660.086	3877.701806	1075.480615	2035.912967	1.08E-16	L	
MH0066_GL0035835	Bacteroidetes	Bacteroides	K02518	COG0361	4702.452791	3104.583471	2521.082692	7575.519992	1.21E-16	L	
MH0428_GL0050806	Bacteroidetes	Bacteroides	unknown	unknown	20282.80761	16209.84101	12630.10776	33582.00378	1.39E-16	L	
MH0020_GL0009332	Bacteroidetes	Bacteroides	K08191	COG0477	1906.247916	4518.009759	1337.563308	2189.680537	1.46E-16	L	
MH0020_GL0033884	Bacteroidetes	Bacteroides	K00908	COG0515	1739.184021	4062.702676	1148.705377	2183.260301	2.69E-16	L	
MH0012_GL0023039	Bacteroidetes	Bacteroides	unknown	NOG82342	1940.397953	4520.933029	1393.342377	2231.172366	2.94E-16	L	
563193.HMPREF0619_02559	Bacteroidetes	Parabacteroides	K01119	COG0737	1747.882574	4127.425212	1229.316254	2036.64252	3.01E-16	L	
MH0458_GL0165138	Bacteroidetes	Bacteroides	K00908	COG1262;NOG84448	1898.161467	4503.513871	1341.646023	2269.113228	3.03E-16	L	
MH0020_GL0043717	Bacteroidetes	Bacteroides	K07001	COG1752	1653.229872	3887.185553	1180.9582	2018.821585	3.48E-16	L	
MH0012_GL0110933	Bacteroidetes	Bacteroides	unknown	COG0726	1562.571326	3607.605341	1020.585677	1950.286398	3.58E-16	L	
159369152-stool2_revised_scaffold8644_3_gene9467	Bacteroidetes	Bacteroides	K10715	COG0642	1644.076496	3948.919935	1180.713831	2059.702797	3.59E-16	L	
763860675-stool2_revised_scaffold54632_1_gene77590	Bacteroidetes	Bacteroides	K01423	COG1506	2028.518352	4715.046435	1403.064723	2373.926919	4.07E-16	L	
MH0020_GL0043715	Bacteroidetes	Bacteroides	K04079	COG0326	2126.410702	4870.268118	1454.504908	2414.869341	4.16E-16	L	
NOM026_GL0029774	Firmicutes	Clostridium	unknown	unknown	2998.15754	2064.076812	1740.410985	5197.156504	4.93E-16	L	
MH0439_GL0119821	Bacteroidetes	Bacteroides	unknown	unknown	10612.48531	5565.321753	17396.43649	13568.28776	2.89E-12	H	
NOF006_GL0002992	Bacteroidetes	Bacteroides	unknown	NOG41021	2101.184334	4794.153506	1430.0863	2390.140691	6.07E-16	L	
MH0020_GL0025510	Bacteroidetes	Bacteroides	K01182	COG0366	1674.239924	3929.276541	1175.148415	2034.645772	6.66E-16	L	
435591.BDI_1504	Bacteroidetes	Parabacteroides	K06896	COG3568	1750.956465	4022.049347	1187.157662	2063.406228	6.76E-16	L	
MH0012_GL0044659	Bacteroidetes	Bacteroides	K01197	NOG69445	1617.207661	3848.061306	1157.486423	1983.443585	8.73E-16	L	
N044A_GL0023615	Bacteroidetes	Bacteroides	K07636	COG0642	2421.631368	5468.794253	1549.135208	2901.57374	1.04E-15	L	
MH0329_GL0153694	Bacteroidetes	Bacteroides	K00903	COG3206;COG0489	2030.689076	4671.402853	1263.629208	2412.980057	1.14E-15	L	
MH0012_GL0104044	Bacteroidetes	Bacteroides	K06020	COG0488	2093.960554	4888.468606	1446.521015	2461.944	1.38E-15	L	
457391.HMPREF0105_0416	Bacteroidetes	Bacteroides	unknown	unknown	7623.924162	4256.684635	10688.65862	10680.96022	9.69E-13	H	
NLF014_GL0022106	Bacteroidetes	Bacteroides	K01573	NOG69731	9090.184773	7957.503229	4351.910492	14680.23919	1.41E-15	L	
MH0003_GL0044663	Firmicutes	Blautia	K00936	COG0642	9685.991123	6150.333188	14006.54835	4847.447073	1.32E-24	H	
657314.CK5_08660	Firmicutes	Blautia	K01144	COG0507	3359.058034	2999.338482	4785.763292	1875.83013	9.15E-22	H	
MH0144_GL0074933	Firmicutes	Blautia	K02003	COG1136	10322.20361	6797.109759	14243.97015	6002.955065	1.88E-23	H	
V1.CD51-0_GL0183361	Firmicutes	Blautia	K02003	COG1136	5416.286804	4056.302065	7430.649315	2572.645236	8.20E-17	H	
O2.UC11-0_GL0021455	Firmicutes	Blautia	K02004	COG0577;NOG239434	5209.064366	3578.166359	7781.032546	2667.900577	7.47E-21	H	
MH0427_GL0013854	Firmicutes	Blautia	K02004	NOG239434	8061.335943	5087.996347	12101.84453	3416.500268	4.28E-25	H	
V1.UC11-5_GL0097198	Firmicutes	Blautia	K03088	NOG286531	3068.382953	1788.593412	4674.814708	1675.475073	3.73E-27	H	
411459.RUMOBE_00652	Firmicutes	Blautia	K03205	COG1961	2648.026138	2020.977359	4104.336177	1430.611057	8.97E-23	H	
MH0236_GL0019183	Firmicutes	Blautia	unknown	COG0745	8801.077016	5967.672329	12482.56492	3695.002398	1.03E-21	H	
O2.UC43-1_GL0035168	Firmicutes	Blautia	unknown	NOG131524	4979.67506	3849.034941	7109.6352	2640.651447	3.67E-15	H	
V1.CD7-0_GL0035382	Firmicutes	Clostridium	K02315	COG1484	10455.08353	9304.274218	15957.27724	4594.436228	2.95E-31	H	
NLF007_GL0102988	Firmicutes	Clostridium	K06941	COG0820	28684.88399	22552.59969	51683.62652	21096.21531	8.22E-22	H	
MH0192_GL0154388	Firmicutes	Clostridium	unknown	COG1961	2021.841339	764.5397588	3684.905277	2930.087683	4.37E-18	H	
763759525-stool1_revised_scaffold5845_1_gene62725	Firmicutes	Clostridium	unknown	NOG131524	9492.427668	7428.470247	11803.76685	5890.502642	2.04E-09	H	
V1.FI25_GL0032525	Firmicutes	Clostridium	unknown	NOG137534	20639.23938	16222.94415	29676.77275	11117.58817	4.77E-20	H	
O2.UC15-2_GL0129379	Firmicutes	Clostridium	unknown	NOG137534	3508.028117	2768.435847	4700.267615	2250.460374	1.11E-11	H	
O2.UC35-1_GL0059998	Firmicutes	Clostridium	unknown	NOG27013	10076.70239	9119.090235	18320.54865	6519.793634	6.52E-24	H	
428125.CLOLEP_01448	Firmicutes	Clostridium	unknown	NOG69646	3624.122198	3611.206847	7043.589531	747.2222358	5.58E-27	H	
MH0002_GL0001198	Firmicutes	Clostridium	unknown	NOG75023	8657.273115	6721.783147	13941.40215	7702.59474	1.47E-14	H	
SZEY-64A_GL0010283	Firmicutes	Clostridium	unknown	unknown	1949.852201	1853.735976	4252.340862	867.9775122	4.34E-27	H	
MH0025_GL0039832	Firmicutes	Clostridium	unknown	unknown	23707.59759	14779.21224	45795.44437	22962.27215	5.91E-28	H	
